Datum,FinanceGroep,Budget
3/20/2022,Scholen alleen entree,0
3/20/2022,Evenementen Scholen,0
3/20/2022,Evenementen met entree,0
3/20/2022,Groepen,0
3/20/2022,Gratis/ <3,160
3/20/2022,Abonnement,900
3/21/2022,Vol betalend,106
3/21/2022,Actie,216
3/21/2022,Accommodatie,25
3/21/2022,Scholen alleen entree,0
3/21/2022,Evenementen Scholen,0
3/21/2022,Evenementen met entree,0
3/21/2022,Groepen,0
3/21/2022,Gratis/ <3,53
3/21/2022,Abonnement,400
3/22/2022,Vol betalend,106
3/22/2022,Actie,216
3/22/2022,Accommodatie,25
3/22/2022,Scholen alleen entree,0
3/22/2022,Evenementen Scholen,0
3/22/2022,Evenementen met entree,0
3/22/2022,Groepen,0
3/22/2022,Gratis/ <3,53
3/22/2022,Abonnement,400
3/23/2022,Vol betalend,106
3/23/2022,Actie,216
3/23/2022,Accommodatie,25
3/23/2022,Scholen alleen entree,0
3/23/2022,Evenementen Scholen,0
3/23/2022,Evenementen met entree,0
3/23/2022,Groepen,0
3/23/2022,Gratis/ <3,53
3/23/2022,Abonnement,400
3/24/2022,Vol betalend,106
3/24/2022,Actie,216
3/24/2022,Accommodatie,25
3/24/2022,Scholen alleen entree,0
3/24/2022,Evenementen Scholen,0
3/24/2022,Evenementen met entree,0
3/24/2022,Groepen,0
3/24/2022,Gratis/ <3,53
3/24/2022,Abonnement,400
3/25/2022,Vol betalend,101
3/25/2022,Actie,216
3/25/2022,Accommodatie,25
3/25/2022,Scholen alleen entree,30
3/25/2022,Evenementen Scholen,0
3/25/2022,Evenementen met entree,0
3/25/2022,Groepen,0
3/25/2022,Gratis/ <3,53
3/25/2022,Abonnement,400
3/26/2022,Vol betalend,248
3/26/2022,Actie,792
3/26/2022,Accommodatie,60
3/26/2022,Scholen alleen entree,0
3/26/2022,Evenementen Scholen,0
3/26/2022,Evenementen met entree,0
3/26/2022,Groepen,0
3/26/2022,Gratis/ <3,150
3/26/2022,Abonnement,650
3/27/2022,Vol betalend,318
3/27/2022,Actie,842
3/27/2022,Accommodatie,80
3/27/2022,Scholen alleen entree,0
3/27/2022,Evenementen Scholen,0
3/27/2022,Evenementen met entree,0
3/27/2022,Groepen,0
3/27/2022,Gratis/ <3,160
3/27/2022,Abonnement,900
3/28/2022,Vol betalend,106
3/28/2022,Actie,316
3/28/2022,Accommodatie,25
3/28/2022,Scholen alleen entree,0
3/28/2022,Evenementen Scholen,0
3/28/2022,Evenementen met entree,0
3/28/2022,Groepen,0
3/28/2022,Gratis/ <3,53
3/28/2022,Abonnement,300
3/29/2022,Vol betalend,106
3/29/2022,Actie,316
3/29/2022,Accommodatie,25
3/29/2022,Scholen alleen entree,0
3/29/2022,Evenementen Scholen,0
3/29/2022,Evenementen met entree,0
3/29/2022,Groepen,0
3/29/2022,Gratis/ <3,53
3/29/2022,Abonnement,300
3/30/2022,Vol betalend,106
3/30/2022,Actie,316
3/30/2022,Accommodatie,25
3/30/2022,Scholen alleen entree,0
3/30/2022,Evenementen Scholen,0
3/30/2022,Evenementen met entree,0
3/30/2022,Groepen,0
3/30/2022,Gratis/ <3,53
3/30/2022,Abonnement,300
3/31/2022,Vol betalend,106
3/31/2022,Actie,316
3/31/2022,Accommodatie,25
3/31/2022,Scholen alleen entree,0
3/31/2022,Evenementen Scholen,0
3/31/2022,Evenementen met entree,0
3/31/2022,Groepen,0
3/31/2022,Gratis/ <3,53
3/31/2022,Abonnement,300
4/1/2022,Vol betalend,106
4/1/2022,Actie,316
4/1/2022,Accommodatie,25
4/1/2022,Scholen alleen entree,30
4/1/2022,Evenementen Scholen,0
4/1/2022,Evenementen met entree,0
4/1/2022,Groepen,0
4/1/2022,Gratis/ <3,53
4/1/2022,Abonnement,300
4/2/2022,Vol betalend,460
4/2/2022,Actie,600
4/2/2022,Accommodatie,160
4/2/2022,Scholen alleen entree,0
4/2/2022,Evenementen Scholen,0
4/2/2022,Evenementen met entree,0
4/2/2022,Groepen,0
4/2/2022,Gratis/ <3,280
4/2/2022,Abonnement,650
4/3/2022,Vol betalend,510
4/3/2022,Actie,600
4/3/2022,Accommodatie,160
4/3/2022,Scholen alleen entree,0
4/3/2022,Evenementen Scholen,0
4/3/2022,Evenementen met entree,0
4/3/2022,Groepen,0
4/3/2022,Gratis/ <3,280
4/3/2022,Abonnement,1000
4/4/2022,Vol betalend,200
4/4/2022,Actie,295
4/4/2022,Accommodatie,50
4/4/2022,Scholen alleen entree,300
4/4/2022,Evenementen Scholen,0
4/4/2022,Evenementen met entree,0
4/4/2022,Groepen,0
4/4/2022,Gratis/ <3,105
4/4/2022,Abonnement,400
4/5/2022,Vol betalend,200
